pheno	db	chromosome	block	CS.EUR	CS.AFR	CS.EAS	union.size	union.SNP
HDL	UKBB	9	110	CS:EUR-9-110-1	CS:AFR-9-110-1		1	rs33918808
HDL	UKBB	9	111	CS:EUR-9-111-1		CS:EAS-9-111-1	23	rs12686004,rs2244278,rs2740488,rs1800978,rs2777795,rs111919605,rs12001061,rs72732702,rs7047523,rs2740493,rs2740492,rs3983644,rs2027403,rs2777784,rs2777786,rs2777787,rs1799777,rs2254708,rs2740494,rs2099544,rs2777789,rs2777790,rs2777791
HDL	UKBB	11	129	CS:EUR-11-129-1		CS:EAS-11-129-1	20	rs964184,rs1558861,11:116623213_TA_T,rs180327,rs3825041,rs7483863,rs2075290,rs10750096,rs3741298,rs651821,rs662799,rs7123666,rs4938313,rs9666150,rs11216140,rs10790162,rs6589565,rs2160669,rs6589569,rs9667814
HDL	UKBB	12	141	CS:EUR-12-141-1	CS:AFR-12-141-1		1	rs10773112
HDL	UKBB	15	52	CS:EUR-15-52-1	CS:AFR-15-52-1		2	rs10468017,rs1532085
HDL	UKBB	15	53	CS:EUR-15-53-1	CS:AFR-15-53-1		4	rs1800588,rs2070895,rs1077835,rs1077834
HDL	UKBB	16	75	CS:EUR-16-75-1	CS:AFR-16-75-1		2	rs5883,rs158479
HDL	UKBB	16	75	CS:EUR-16-75-2	CS:AFR-16-75-2	CS:EAS-16-75-1	6	rs12446515,rs183130,rs17231506,rs56156922,rs247617,rs56228609
HDL	UKBB	19	38	CS:EUR-19-38-1	CS:AFR-19-38-1		16	rs17699030,rs12974173,rs4804155,rs8101801,rs66466742,rs56322906,rs737337,rs2278426,rs3826815,rs12971537,rs3810308,rs4804154,rs737338,rs4804575,rs4804576,rs3745683
HDL	UKBB	19	75	CS:EUR-19-75-1	CS:AFR-19-75-1		3	rs7412,rs61679753,rs190712692
